SSE_output_unit1,SSE_output_unit2,SSE_output_unit3,SSE_output_unit4,SSE_output_unit5,SSE_output_unit6,SSE_output_unit7,SSE_output_unit8
0.8504,0.8739,0.8720,0.8301,0.8342,0.8889,0.8717,0.8286
0.8500,0.8738,0.8718,0.8292,0.8335,0.8889,0.8716,0.8278
0.8495,0.8737,0.8716,0.8282,0.8327,0.8889,0.8715,0.8270
0.8491,0.8736,0.8713,0.8272,0.8320,0.8888,0.8714,0.8261
0.8486,0.8735,0.8711,0.8262,0.8312,0.8888,0.8714,0.8252
0.8481,0.8734,0.8709,0.8252,0.8304,0.8888,0.8713,0.8244
0.8476,0.8733,0.8707,0.8241,0.8296,0.8888,0.8712,0.8235
0.8471,0.8732,0.8704,0.8231,0.8288,0.8887,0.8712,0.8225
0.8466,0.8731,0.8702,0.8220,0.8280,0.8887,0.8711,0.8216
0.8461,0.8730,0.8699,0.8209,0.8271,0.8887,0.8710,0.8206
0.8456,0.8729,0.8697,0.8197,0.8263,0.8887,0.8709,0.8197
0.8451,0.8728,0.8694,0.8185,0.8254,0.8886,0.8709,0.8187
0.8446,0.8727,0.8692,0.8173,0.8245,0.8886,0.8708,0.8177
0.8441,0.8726,0.8689,0.8161,0.8236,0.8886,0.8707,0.8167
0.8435,0.8725,0.8686,0.8149,0.8227,0.8886,0.8707,0.8156
0.8430,0.8724,0.8683,0.8136,0.8218,0.8885,0.8706,0.8145
0.8424,0.8723,0.8681,0.8123,0.8208,0.8885,0.8705,0.8135
0.8419,0.8722,0.8678,0.8110,0.8199,0.8885,0.8704,0.8124
0.8413,0.8721,0.8675,0.8096,0.8189,0.8884,0.8704,0.8112
0.8407,0.8720,0.8672,0.8083,0.8179,0.8884,0.8703,0.8101
0.8401,0.8718,0.8669,0.8068,0.8169,0.8884,0.8702,0.8089
0.8396,0.8717,0.8666,0.8054,0.8159,0.8883,0.8701,0.8077
0.8390,0.8716,0.8663,0.8039,0.8148,0.8883,0.8701,0.8065
0.8384,0.8715,0.8660,0.8024,0.8138,0.8883,0.8700,0.8053
0.8377,0.8714,0.8657,0.8009,0.8127,0.8882,0.8699,0.8040
0.8371,0.8713,0.8653,0.7993,0.8116,0.8882,0.8699,0.8027
0.8365,0.8712,0.8650,0.7977,0.8105,0.8882,0.8698,0.8014
